"",""
"дорога","strada"
"ступенька","gradino"
"пол","pavimento"
"скамейка","panchina"
"лестница","scala"
"мост","ponte"
"паркет","parquet"
"трава","erba"
"рыба","pesce"
"мыло","sapone"
"мяч","palla"
"гриб","funghi"
"рука","mani"
"турник","sbarra"
"подошва","suola"
"ботинок","scarpe"
"место","spazio"
"поле","campo"
"степь","steppa"
"лужайка","prato"
"лес","bosco"
"ландшафт","terreno"
"доска","tavola"
"камень","pietra"
"поверхность стола","superficie"
"перила","crossimano"
"макароны","penne"
"миска","ciotola"
"кожа","pelle"
"шерсть","pelo"
"щека","guance"
"подбородок","mento"
"волосы","capelli"
"перья","ali"
"ткань","tessuto"
"лыжня","pista da sci"
"поверхность озера","superficie del lago"
"потолок","soffitto"
"стена","parete"
"забор","steccato"
"линия","linea"
"текст","testo"
"фасад","facciada"
"карман","tasca"
"течение реки","lento del fiume"
"вопрос","domanda"
"путь","cammino"
"тема","tema"
"человек","persona"
"девушка","ragazza"
"вкус","sapore"
"стул","sedie"
"деревни","villaggi"
"загар","abbronzatura"
"качество","qualità"
"промежутки","intervalli"
"звук","suono"
"ритм","ritmo"
"скорость","velocità"
"дыхание","respiro"
"боль","dolore"
"шепот","sussurro"
"шаги","passi"
"стук","bussare"
"дождь","pioggia"
