"","spesso","grosso","grasso","largo","ampio","spazioso","arioso"
"лист бумаги","+, G","","","","","",""
"слой пыли","+, G","","","","","",""
"ткань","+, G","+","","","","",""
"книга","+, G","+","","","+, G","",""
"стена","+, G","","","+, G","+","",""
"столб","","+","","","","",""
"ствол дерева","","+","","","","",""
"ветка","","+, G","","","G","",""
"стебель","","+","","","","",""
"нитка","+, G","+","","","","",""
"волосы","+, G","","","","","",""
"карандаш","","+","","","","",""
"песок","","+","","G","","",""
"туман","","","","","","",""
"дождь","","","","","","",""
"суп","","","","","","",""
"лес","","","","","","G",""
"человек","","","+, G","","","",""
"нога","","","","G","","",""
"палец","","","G","","","",""
"лента","","","","+, G","","",""
"доска","","","","+","","",""
"дорога","","","","+, G","+","G",""
"окно","","","","","+, G","G",""
"поле","","","","G","","G",""
"отверстие","","","","+","","",""
"коридор","","","","+","+, G","+",""
"улица","","","","+","+","+, G",""
"труба","","+","","","","",""
"штаны","","","","+","","",""
"ботинок","","G","","+, G","","",""
"комната","","","","","G","+, G","+"
"кровать","","","","+","+, G","+",""
