"","толстый","широкий","просторный"
"лист бумаги","+","",""
"слой пыли","+","",""
"ткань","+","",""
"книга","+","+","+"
"стена","+","+",""
"столб","+","+",""
"ствол дерева","+","",""
"ветка","+","+",""
"палка","+","",""
"веревка","+","",""
"волосы","+","",""
"дудка","","",""
"песок","","+",""
"туман","","+",""
"дождь","","+",""
"каша","","",""
"лес","+","+","+"
"человек","+","+",""
"рука","+","+","+"
"нога","+","+",""
"палец","+","+",""
"тесьма","+","+",""
"доска","+","+",""
"дорога","","+","+"
"окно","+","+","+"
"поле","","+","+"
"горлышко бутылки","","+",""
"коридор","","+","+"
"улица","","+","+"
"труба","+","+",""
"юбка","+","+","+"
"туфля","+","+",""
"комната","","+","+"
"кровать","","+","+"
