"","sottile","fine","magro","stretto","angusto"
"лист бумаги","+, G","","","G",""
"слой пыли","+, G","+","","",""
"ткань","+","+, G","","",""
"книга","+, G","","","",""
"стена","+, G","","","+, G",""
"столб","+, G","","","G",""
"ствол дерева","+, G","","","",""
"ветка","+, G","","","G",""
"стебель","+, G","","","",""
"нитка","+, G","+","","",""
"волосы","+, G","+","","",""
"карандаш","+, G","","","",""
"песок","","+, G","","",""
"туман","","G","","",""
"дождь","G","+","","",""
"суп","","","","",""
"лес","G","","","",""
"человек","","","+, G","G",""
"нога","","","","G",""
"палец","G","","","G",""
"лента","+, G","","","G",""
"доска","G","","","+, G",""
"дорога","G","","","+, G",""
"окно","G","","","+",""
"поле","","","","",""
"отверстие","","","","+, G",""
"коридор","","","","+, G","+"
"улица","","","","+, G","+"
"труба","G","","","+, G",""
"штаны","","","","+, G",""
"ботинок","G","","","+, G",""
"комната","","","","+, G","+, G"
"кровать","","","","+, G",""
