"","scivoloso","sdrucciolevole","sdruccioloso","viscido","liscio","pianeggiante","piane","piatto","regolare","diretto","levigato"
"strada","+, Y, Y","G, G, G","","","G, Y, Y, G","+, G, G, G","Y","","","+, G, Y, Y, G",""
"gradino","G, G, Y, G, Y","","","","G","","G","G","","G",""
"pavimento","+, G, G, Y, Y, G","","","","G, Y, Y, G","","","G, G, Y, G","+","",""
"panchina","G, G, Y","","","","G","","G","","","G",""
"scala","+, G, G, Y, G, Y","+","+","","G, G, Y","","","G","","G, G, Y",""
"ponte","+, G, G, Y","+","+","","","","","G, G","","G, G, Y",""
"parquet","+, G, G, Y, G, Y","","+","","G, G, Y","","","G","","G",""
"erba","+, G, G, Y, Y, G","","+","","G, Y, G","","Y","G, G","Y","G",""
"pesce","+, G, G, Y, G, Y","","","+","G, G, Y","","","G, G, Y","","G",""
"sapone","+, G, G, Y, G, Y","","","","","","","G","","G",""
"palla","+, G, G, Y, G, Y","","","","G","","","G","","G",""
"funghi","+, G, G, Y, Y, G","","","+","G","","G, G","Y","","G",""
"mani","+, G, G, Y, G, Y","","","","G, G, Y","","Y","G, G","Y","G, G, Y",""
"sbarra","+, G, G, Y","","","","G","","","G","","G",""
"suola","+, G, G, Y, Y, G","","","","G, Y, G","","","G, Y, G","","G",""
"scarpe","+, Y","G, G","","","+, G, G, Y","","","","","G, G, Y",""
"spazio","G, Y, Y, G","","","","Y","","Y","G, G","G, Y, Y, G","G, Y, G",""
"campo","G, G","","","","Y","+","Y","","G, Y, G, Y","G, G, Y",""
"steppa","G","","","","G, Y, G","+","+, Y ","G, G, G","+, Y, Y","G",""
"prato","G, G, Y","","","","+, G","+","Y","G, G","+, Y, Y","G",""
"bosco","G","","","","G, G","","","G","+, Y","G",""
"terreno","G, Y, G","","","","G","+, G, G, G","G","Y, Y","+","G",""
"tavola","G, G, Y","","","","+, G, G, Y, G, Y","","Y","G, G","Y","G, G, Y","+"
"pietra","G, Y, G","","","","+, G, G, Y, Y, G","","","G, Y, G","","G, Y, G","+"
"superficie","G","","","","+, G, G, Y, G, Y","","G, G, Y","","","G","+"
"crossimano","G","Y","","","G, Y, Y, G","","","","","Y, G",""
"penne","G","","","","+, G, G, Y","","G","","","G",""
"ciotola","G, G, Y","","","","+, G, G, Y","","","G, G, Y","","G",""
"pelle","G, Y, G","","","","+, G, G, Y, Y, G","","","G","","","+"
"pelo","G, G, Y","","","","+, G, G, Y, G, Y","","","G","","",""
"guance","G, Y, G","","","","+, G, G, Y, Y, G","","","G, Y, G","","G","+"
"mento","G","","","","+, G, G, G, Y","","","G, G","","G",""
"capelli","G","","","","+, G, G, Y, G, Y","","","G, G, Y","","",""
"ali","G","","","","G, G, Y, G, Y","","+, G","","","G",""
"tessuto","G, G, Y","","","","+, G, Y, G, Y","","","G","","G",""
"pista da sci","G","","","","G, G, Y, Y, G","","","G, G, G","","G, Y, G",""
"superficie del lago","G","","","","+, G, Y, G, Y","","G","","","G",""
"soffitto","G","","","","G, G, Y, G","","G, G","Y","+, Y, Y","G",""
"parete","G, G, Y","","","","G, Y, G, Y","","G, G, G, Y","","+","G, G, Y",""
"steccato","G","","","","G, G","","","G","+, Y, Y","G, Y, G",""
"linea","G","","","","G, G, G, Y","","","G, Y, Y","","+, Y, Y",""
"testo","G","","","","G, G, Y","","","","Y","G, G",""
"facciada","","","","","G, G","","","G, Y, G","","G",""
"tasca","G","","","","","","","G","","G, G, Y",""
"lento del fiume","G","","","","","","","","G","G",""
"domanda","+, G, Y, Y, G","","","","","","","G","","G, Y, G",""
"cammino","G, G, Y, G, Y","","","","G, G, Y","G","","","","G, G, Y",""
"tema","+, G, G, Y, G, Y","","","","G","","","G","","G, G, Y",""
"persona","+, G, Y, G, Y","","","+","G, G, Y","","","G, G, Y","","Y",""
"ragazza","G","","","","G","","Y","G, G","","G",""
"sapore","","","","G","","","","G, G","","G, G, Y",""
"sedie","G","","","","G","","G","","","G, G, Y",""
"villaggi","G","","","","G","","","G","","G",""
"abbronzatura","G","","","","G","","","G","","G",""
"qualità","G","","","","G, G","","","G","Y","G, G, Y",""
"intervalli","G","","","","","G","G","Y","G, Y","G",""
"suono","G, G, Y","","","","","","","G, G","+, Y, Y","G",""
"ritmo","G","","","","","","","","+, G, Y, G","G",""
"velocità","G","","","","G, G","","","","+, Y","G",""
"respiro","G","","","","","","","G","+, G, Y, Y","G",""
"dolore","G","","","","G","","Y","G, G","","G, G, Y",""
"sussurro","G","","","","G, Y","","","G","","G",""
"passi","G, G, Y","","","","Y","","G, G","Y","","G, G",""
"bussare","G","","","","G, Y","","","G, Y","","G",""
"pioggia","G","","","","","","","G, G","Y","G, G, Y",""
