"","скользкий","ровный","плоский","гладкий","прямой"
"дорога","+, +","+, +","+","+","+, +"
"ступенька","+, +","","","",""
"пол","+, +","+, +","+","+",""
"скамейка","+","","","",""
"лестница","+, +","","","+","+"
"мост","+","","+","","+"
"паркет","+, +","+","","+",""
"трава","+, +","+","+","+",""
"рыба","+, +","","+","+",""
"мыло","+, +","","","",""
"мяч","+, +","","","",""
"гриб","+, +","","+","",""
"рука","+, +","+","+","+","+"
"турник","+","","","",""
"подошва","+, +","","+","+",""
"ботинок","+","","","+","+"
"место","+, +","+, +","+","+","+"
"поле","+","+, +","+","+","+"
"степь","","+, +","+","+",""
"лужайка","+","+, +","+","",""
"лес","","+","","",""
"ландшафт","+","","+, +","",""
"доска","+, +","+","+","+, +","+"
"камень","+","+","+","+, +","+"
"поверхность стола","","","+","+, +",""
"перила","+","","","+, +","+"
"макароны","","","","+",""
"миска","+","","+","+",""
"кожа","+","+","","+, +",""
"шерсть","+","","","+, +",""
"щека","+","","+","+, +",""
"подбородок","","+","+","+, +",""
"волосы","","+","+","+, +","+"
"перья","","","","+",""
"ткань","+","+","","+, +",""
"лыжня","","+, +","","+, +","+"
"поверхность озера","","+, +","","+",""
"потолок","","+, +","+","+",""
"стена","+","+, +","+","+","+"
"забор","","+, +","","+","+"
"линия","","+, +","","+","+, +"
"текст","","","","+","+"
"стулья","","","","","+"
"деревни","","","","",""
"загар","","+, +","","",""
"промежутки","","+","+","",""
"звук","+","+, +","+","+",""
"ритм","","+, +","","",""
"дыхание","","+, +","","","+"
"шепот","","+","","",""
"фасад","","","+","+",""
"карман","","","","","+"
"шаг","+","+","+","","+"
"стук","","+","+","",""
"дождь","","+","+","","+"
"течение реки","","","","",""
"вопрос","+, +","","","","+"
"путь","+, +","+","","+","+"
"тема","+, +","","","","+"
"тип","+, +","","","","+"
"человек","+","+","+","+","+"
"девушка","","","+","",""
"вкус","","","+","","+"
"качество","","+","","","+"
"скорость","","+","","",""
"боль","","","+","","+"
